"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Emma,Emma,12,Mixed
Dog,Bessy,Bess,10,Labrador Retriever
Dog,Dakota,"Woobis, Woobie",13,Mixed
Dog,Altrichter,Cooper,9,Golden Retriever
Dog,Tucker,Tuck,7,Golden Retriever
Dog,Penny Bellew,Penny,6,Labrador Retriever
Dog,Morena,Morena,2,Corgi
Dog,Brownie,Bub,13,Maltipoo
Dog,Mose Schrute,Mose,2,German Shepherd
Dog,Rocky,Rocky,6,Corgidor
Dog,Tyler John (had to give him a middle name for when he was in trouble),Ty,12,Rhodesian Ridgeback
Dog,Tux,Tux,9,Mixed
Dog,Ruby,Ruby,3,Mixed
Dog,Pooch-K,Pooch-k the pooch,7,Mixed
Dog,Scooby,Scoobers,0.5833333333333334,Mixed
Dog,Lloyd,Lloyd,11,Golden Retriever
Dog,Ishka,Ish/Ishka,8,Golden Retriever
Dog,Millie,Millie,1.5,Border Collie
Dog,Rossa,"Ross, Rossy, Rossapoo",5,Golden Retriever
Dog,Wookie,Wookie,7,Goldendoodle
Dog,Tucker,Tucker,2,Labrador Retriever
Dog,Keifer,Keifer,14,Yellow Labrador Retriever
Dog,Frankie,Frankie,7,Mixed
Dog,Sammy,Sam,5,Mixed
Dog,Barrett,Barrett,3,German Shepherd
Dog,Benjamin,Benj,2,Border Collie
Dog,Laney,Laney,12,Golden Retriever
Dog,Dixie,Lady,3,Pitbull
Dog,Diesel,Diesel,3,Pitbull
Dog,Baxter,Baxter,7.5,Golden Retriever
Dog,Riley Marie,Riley,13,Cocker Spaniel
Dog,Reginald Fonzerelli Hawkes,Reg,12,Goldendoodle
Dog,Erik,Earwig,4,Wirehaired dachshund
Dog,Oliver,Oli,8,Jack Russell Terrier
Dog,Bilbo Spud Doggins,Bilbo,5,Cocker Spaniel
Dog,Bailey Woofer,Bailey,13,Cocker Spaniel
Dog,Skyy like the vodka,Skyy,3,Husky
Dog,Malibu like the rum,Malibu,1,Golden Retriever
Dog,Golden Tate,Tate,2,Golden Retriever
Dog,Bear,Bear,0.5833333333333334,Labrador Retriever
Dog,Stanley,Stan,0.5,Miniature Schnauzer
Dog,Andromeda Mae,Andie,6,Goldendoodle
Dog,Eloise Gertrude,Ellie,2,Labradoodle
Dog,Lady Bonnie of Coventry,Bonnie,8,Mixed
Dog,Gibson,Gibby,2.5,Pitbull
Dog,Brewskie,Brew,11,Puggle
Dog,Koli,Koli,11,Mixed
Dog,Moxie Jean Narice,Moxie,1,German Shepherd
Dog,Dancer Pants,Dancer,17,Havanese
